Date,Player 1,Mage 1,Player 2,Mage 2,Won,Difficulty,Nemesis,Market Card 1,Market Card 2,Market Card 3,Market Card 4,Market Card 5,Market Card 6,Market Card 7,Market Card 8,Market Card 9
2017/11/12 5:30PM PST,James,Kadir,Miriam,Brama,FALSE,10,Hollow Crown,V'riswood Amber,Diamond Cluster,Scoria Slag,Vim Dynamo,Mage's Totem,Amplify Vision,Phoenix Flame,Monstrous Inferno,Arcane Nexus
2017/11/12 7:00PM PST,James,Kadir,Miriam,Brama,FALSE,10,Hollow Crown,V'riswood Amber,Diamond Cluster,Scoria Slag,Vim Dynamo,Mage's Totem,Amplify Vision,Phoenix Flame,Monstrous Inferno,Arcane Nexus
2017/11/12 9:00PM PST,James,Kadir,Miriam,Brama,TRUE,8,Hollow Crown,V'riswood Amber,Diamond Cluster,Scoria Slag,Vim Dynamo,Mage's Totem,Amplify Vision,Phoenix Flame,Monstrous Inferno,Arcane Nexus
2017/11/10 7:00PM PST,James,Reeve,Miriam,Quilius,FALSE,10,Carapace Queen,Frozen Magmite,Searing Ruby,Clouded Sapphire,Vortex Gauntlet,Fiend Catcher,Pyrotechnic Surge,Carbonize,Wildfire Whip,Chaos Arc
2017/11/10 9:00PM PST,James,Reeve,Miriam,Quilius,TRUE,8,Carapace Queen,Frozen Magmite,Searing Ruby,Clouded Sapphire,Vortex Gauntlet,Fiend Catcher,Pyrotechnic Surge,Carbonize,Wildfire Whip,Chaos Arc
